[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Redovni', 'Sigurnost i zaštita; smjerovi: Zaštita na radu, Zaštita od požara (stručni)', 'Karlovac', 82.0, 710.0, 141.0, 1.72, 0, 82.0]
[2014, 'l', 'Sveučilište u Zadru', 'Javna sveučilišta', 'Odjel za anglistiku Sveučilišta u Zadru', 'Redovni', 'Anglistika (dvopredmetni)', 'Zadar', 83.0, 549.0, 103.0, 1.24, 0, 82.0]
[2014, 'l', 'Tehničko veleučilište u Zagrebu', 'Javna veleučilišta', 'Tehničko veleučilište u Zagrebu', 'Redovni', 'Računarstvo; smjerovi: Programsko inženjerstvo, Inženjerstvo računalnih sustava i mreža (stručni)', 'Zagreb', 80.0, 870.0, 189.0, 2.36, 0, 81.0]
[2014, 'l', 'Zdravstveno veleučilište u Zagrebu', 'Javna veleučilišta', 'Zdravstveno veleučilište u Zagrebu', 'Redovni', 'Sestrinstvo (stručni)', 'Zagreb', 80.0, 918.0, 219.0, 2.74, 0, 81.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Filozofski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Kroatistika (dvopredmetni)', 'Zagreb', 88.0, 511.0, 52.0, 0.59, 0, 81.0]
[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Redovni', 'Mehatronika (stručni)', 'Karlovac', 82.0, 354.0, 107.0, 1.3, 0, 80.0]
[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Redovni', 'Prehrambena tehnologija; smjerovi: Prerada mlijeka, Pivarstvo (stručni)', 'Karlovac', 82.0, 246.0, 69.0, 0.84, 0, 80.0]
[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Redovni', 'Strojarstvo (stručni)', 'Karlovac', 82.0, 413.0, 92.0, 1.12, 0, 80.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Filozofski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Germanistika (dvopredmetni)', 'Zagreb', 88.0, 393.0, 94.0, 1.07, 0, 80.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu', 'Izvanredni', 'Primjena informacijske tehnologije u poslovanju (izvanredni, stručni)', 'Zabok', 80.0, 246.0, 65.0, 0.81, 0, 80.0]
[2014, 'l', 'Veleučilište VERN', 'Privatna veleučilišta', 'Veleučilište VERN', 'Redovni', 'Turizam (stručni)', 'Zagreb', 90.0, 172.0, 70.0, 0.78, 0, 80.0]
[2014, 'l', 'Sveučilište Jurja Dobrile u Puli', 'Javna sveučilišta', 'Fakultet informatike u Puli', 'Redovni', 'Informatika', 'Pula', 85.0, 317.0, 94.0, 1.11, 0, 80.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Učiteljski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Učiteljski studij', 'Zagreb', 78.0, 940.0, 166.0, 2.13, 0, 79.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Filozofski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Psihologija (jednopredmetni)', 'Zagreb', 83.0, 642.0, 209.0, 2.52, 0, 79.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Splitu', 'Izvanredni', 'Pravo (izvanredni)', 'Split', 170.0, 197.0, 39.0, 0.23, 0, 79.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Grafički fakultet Sveučilišta u Zagrebu', 'Redovni', 'Grafička tehnologija, smjer: Tehničko-tehnološki', 'Zagreb', 98.0, 200.0, 53.0, 0.54, 0, 77.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci', 'Izvanredni', 'Poslovna ekonomija u turizmu i ugostiteljstvu (izvanredni)', 'Opatija', 90.0, 207.0, 38.0, 0.42, 0, 77.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Kineziološki fakultet Sveučilišta u Splitu', 'Redovni', 'Kineziologija', 'Split', 75.0, 631.0, 264.0, 3.52, 0, 75.0]
[2014, 'l', 'Veleučilište u Slavonskom Brodu', 'Javna veleučilišta', 'Veleučilište u Slavonskom Brodu', 'Redovni', 'Menadžment (stručni)', 'Slavonski Brod', 80.0, 431.0, 97.0, 1.21, 0, 75.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Kineziološki fakultet Sveučilišta u Splitu', 'Izvanredni', 'Kineziologija (izvanredni, stručni)', 'Split', 150.0, 175.0, 47.0, 0.31, 0, 75.0]
